iter	Passed	Remaining
665	3028	1518
666	3031	1513
667	3035	1508
668	3041	1505
669	3045	1500
670	3048	1494
671	3052	1489
672	3059	1486
673	3063	1481
674	3065	1476
675	3071	1472
676	3076	1467
677	3079	1462
678	3083	1457
679	3087	1452
680	3091	1448
681	3095	1443
682	3099	1438
683	3104	1434
684	3109	1429
685	3113	1425
686	3117	1420
687	3123	1416
688	3127	1411
689	3131	1407
690	3135	1401
691	3138	1396
692	3143	1392
693	3150	1389
694	3154	1384
695	3161	1380
696	3165	1376
697	3170	1371
698	3175	1367
699	3179	1362
700	3185	1358
701	3191	1354
702	3194	1349
703	3198	1345
704	3202	1340
705	3206	1335
706	3212	1331
707	3216	1326
708	3220	1321
709	3225	1317
710	3228	1312
711	3233	1308
712	3237	1303
713	3242	1298
714	3245	1293
715	3250	1289
716	3254	1284
717	3260	1280
718	3266	1276
719	3270	1271
720	3275	1267
721	3278	1262
722	3282	1257
723	3288	1253
724	3292	1248
725	3297	1244
726	3302	1240
727	3308	1236
728	3313	1231
729	3316	1226
730	3320	1221
731	3325	1217
732	3328	1212
733	3333	1207
734	3337	1203
735	3341	1198
736	3345	1193
737	3350	1189
738	3354	1184
739	3357	1179
740	3362	1175
741	3367	1170
742	3372	1166
743	3376	1161
744	3382	1157
745	3387	1153
746	3390	1148
747	3393	1143
748	3399	1139
749	3404	1134
750	3408	1130
751	3414	1126
752	3418	1121
753	3422	1116
754	3426	1111
755	3431	1107
756	3436	1102
757	3439	1098
758	3442	1093
759	3450	1089
760	3454	1084
761	3458	1080
762	3462	1075
763	3467	1071
764	3471	1066
765	3474	1061
766	3478	1056
767	3483	1052
768	3486	1047
769	3490	1042
770	3493	1037
771	3498	1033
772	3502	1028
773	3506	1023
774	3510	1019
775	3515	1014
776	3519	1009
777	3521	1004
778	3527	1000
779	3531	996
780	3535	991
781	3539	986
782	3544	982
783	3548	977
784	3551	972
785	3555	968
786	3560	963
787	3564	959
788	3569	954
789	3572	949
790	3576	945
791	3582	940
792	3585	936
793	3589	931
794	3596	927
795	3599	922
796	3604	918
797	3609	913
798	3613	908
799	3617	904
800	3622	899
801	3629	896
802	3632	891
803	3636	886
804	3643	882
805	3646	877
806	3650	872
807	3653	868
808	3657	863
809	3660	858
810	3666	854
811	3669	849
812	3675	845
813	3682	841
814	3686	836
815	3692	832
816	3699	828
817	3705	824
818	3708	819
819	3714	815
820	3717	810
821	3723	806
822	3729	802
823	3732	797
824	3737	792
825	3742	788
826	3749	784
827	3754	779
828	3759	775
829	3764	771
830	3767	766
831	3772	761
832	3775	756
833	3781	752
834	3787	748
835	3792	744
836	3797	739
837	3801	734
838	3806	730
839	3811	726
840	3814	721
841	3818	716
842	3822	711
843	3826	707
844	3830	702
845	3835	698
846	3840	693
847	3844	689
848	3848	684
849	3855	680
850	3858	675
851	3862	670
852	3865	666
853	3869	661
854	3874	657
855	3878	652
856	3881	647
857	3887	643
858	3892	638
859	3896	634
860	3900	629
861	3905	625
862	3908	620
863	3911	615
864	3915	611
865	3919	606
866	3923	601
867	3928	597
868	3933	592
869	3938	588
870	3944	584
871	3948	579
872	3954	575
873	3957	570
874	3960	565
875	3965	561
876	3970	556
877	3973	552
878	3977	547
879	3983	543
880	3988	538
881	3992	534
882	3995	529
883	4000	524
884	4004	520
885	4008	515
886	4011	511
887	4017	506
888	4021	502
889	4026	497
890	4029	493
891	4036	488
892	4041	484
893	4044	479
894	4049	475
895	4053	470
896	4057	465
897	4061	461
898	4067	456
899	4072	452
900	4076	447
901	4081	443
902	4086	438
903	4090	434
904	4093	429
905	4099	425
906	4102	420
907	4107	416
908	4111	411
909	4118	407
910	4122	402
911	4126	398
912	4130	393
913	4134	389
914	4139	384
915	4146	380
916	4150	375
917	4156	371
918	4162	366
919	4167	362
920	4171	357
921	4174	353
922	4180	348
923	4186	344
924	4192	339
925	4197	335
926	4200	330
927	4204	326
928	4209	321
929	4214	317
930	4218	312
931	4221	307
932	4225	303
933	4230	298
934	4234	294
935	4239	289
936	4243	285
937	4247	280
938	4250	276
939	4254	271
940	4258	267
941	4263	262
942	4266	257
943	4270	253
944	4275	248
945	4281	244
946	4284	239
947	4288	235
948	4294	230
949	4298	226
950	4301	221
951	4306	217
952	4311	212
953	4314	208
954	4319	203
955	4324	199
956	4330	194
957	4333	189
958	4336	185
959	4340	180
960	4346	176
961	4350	171
962	4354	167
963	4359	162
964	4364	158
965	4367	153
966	4370	149
967	4376	144
968	4381	140
969	4386	135
970	4393	131
971	4396	126
972	4400	122
973	4403	117
974	4409	113
975	4412	108
976	4415	103
977	4419	99
978	4424	94
979	4429	90
980	4434	85
981	4440	81
982	4443	76
983	4448	72
984	4452	67
985	4457	63
986	4460	58
987	4463	54
988	4466	49
989	4469	45
990	4475	40
991	4479	36
992	4482	31
993	4485	27
994	4489	22
995	4491	18
996	4494	13
997	4496	9
998	4498	4
999	4500	0
